Report_title,Reporter_name,Incident_date,Day,time,Place,City,District,street,loot,loot_description,is_camera,loot_methodology,estemated_loot_value,Accused,weapon_existens,Accuseds_number,Accused_description,skin_colour,Nationality,Age,known_vehicle,accused_body,Report_content
حادثة سرقة استراحة,سعود الجريش,28/05/2021,Friday,20:17,استراحة,الرياض, الروضة, تركي الأول,مبلغ مادي,المبلغ 82718,نعم,غير معروف," $82,718.00 ",معروف,لا,معروف,لا,سمراء,مصري,50+,نعم,,أنا سعود الجريش أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44344 الوقت 20:17 في حي الروضة شارع تركي الأول تمت سرقة مبلغ مادي بقيمة 82718 ريال سعودي
حادثة سرقة قصر,نورة الشلهوب,20/11/2021,Saturday,9:47,قصر,الرياض, المحمدية, الأمير محمد بن عبد العزيز (الرياض),مبلغ مادي,المبلغ 25288,نعم,تسلق الجدار," $25,288.00 ",معروف,لا,مجهول,نعم,سمراء,صومالي ,21-26,لا,,أنا نورة الشلهوب أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44520 الوقت 09:47 في حي المحمدية شارع الأمير محمد بن عبد العزيز (الرياض) تمت سرقة مبلغ مادي بقيمة 25288 ريال سعودي
حادثة سرقة منزل,نورة الرصيص,20/06/2021,Sunday,8:41,منزل,الرياض, الخليج, هشام بن عبد الملك,ذهب,"النوع سبيكة, العيار 24",لا,وجود مفتاح ," $77,928.00 ",مشكوك فيه,لا,مجهول,لا,بيضاء,غير معروف,21-26,نعم,,أنا نورة الرصيص أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44367 الوقت 08:41 في حي الخليج شارع هشام بن عبد الملك تمت سرقة ذهب بقيمة 77928 ريال سعودي
حادثة سرقة استراحة,منى  الشلهوب,31/12/2021,Friday,8:20,استراحة,الرياض, المونسية, الإمام سعود بن عبد العزيز بن محمد,مبلغ مادي,المبلغ 51372,لا,تسلق الجدار," $51,372.00 ",معروف,لا,معروف,نعم,حنطية,غير معروف,21-26,نعم,,أنا منى  الشلهوب أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44561 الوقت 08:20 في حي المونسية شارع الإمام سعود بن عبد العزيز بن محمد تمت سرقة مبلغ مادي بقيمة 51372 ريال سعودي
حادثة سرقة شقة,سعود المقرن,25/01/2021,Monday,21:14,شقة,الرياض, الرمال, الدائري (الرياض),سيارة,"النوع كوبيه, اللون أبيض",لا,غير معروف," $27,345.00 ",مشكوك فيه,لا,مجهول,لا,حنطية,غير معروف,33-50,نعم,,أنا سعود المقرن أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44221 الوقت 21:14 في حي الرمال شارع الدائري (الرياض) تمت سرقة سيارة بقيمة 27345 ريال سعودي
حادثة سرقة منزل,عبدالرحمن العقيل,04/09/2021,Saturday,16:28,منزل,الرياض, المروج, الشيخ جابر الأحمد الصباح,سيارة,"النوع هاتش باك, اللون كحلي",لا,غير معروف," $31,055.00 ",مشكوك فيه,نعم,مجهول,لا,سمراء,غير معروف,15-20,لا,,أنا عبدالرحمن العقيل أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44443 الوقت 16:28 في حي المروج شارع الشيخ جابر الأحمد الصباح تمت سرقة سيارة بقيمة 31055 ريال سعودي
حادثة سرقة قصر,لطيفة النفيسة,13/10/2021,Wednesday,10:01,قصر,الرياض, العقيق, الأمير نايف بن عبد العزيز,ذهب,"النوع عقد, العيار ",نعم,غير معروف," $58,512.00 ",معروف,نعم,مجهول,نعم,بيضاء,غير معروف,50+,نعم,,أنا لطيفة النفيسة أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44482 الوقت 10:01 في حي العقيق شارع الأمير نايف بن عبد العزيز تمت سرقة ذهب بقيمة 58512 ريال سعودي
حادثة سرقة قصر,تركي الخميسي,09/01/2022,Sunday,11:39,قصر,الرياض, الملك فهد, الأمير ماجد بن عبد العزيز,سيارة,"النوع SUV , اللون أسود",لا,تسلق الجدار," $95,800.00 ",مجهول,نعم,معروف,لا,سمراء,باكستاني,15-20,لا,,أنا تركي الخميسي أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44570 الوقت 11:39 في حي الملك فهد شارع الأمير ماجد بن عبد العزيز تمت سرقة سيارة بقيمة 95800 ريال سعودي
حادثة سرقة شقة,لطيفة القعود,04/01/2021,Monday,1:26,شقة,الرياض, القدس, الملك عبد الله,ذهب,"النوع عقد, العيار 22",نعم,وجود مفتاح ," $72,630.00 ",مجهول,نعم,مجهول,نعم,حنطية,باكستاني,27-32,لا,,أنا لطيفة القعود أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44200 الوقت 01:26 في حي القدس شارع الملك عبد الله تمت سرقة ذهب بقيمة 72630 ريال سعودي
حادثة سرقة شقة,سعد المالك,29/12/2021,Wednesday,20:08,شقة,الرياض, الملك فيصل, التخصصي,جهاز منزلي,"النوع غسالة, اللون أزرق",نعم,كسر الباب," $33,751.00 ",مشكوك فيه,لا,معروف,لا,سمراء,غير معروف,50+,لا,,أنا سعد المالك أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44559 الوقت 20:08 في حي الملك فيصل شارع التخصصي تمت سرقة جهاز منزلي بقيمة 33751 ريال سعودي
حادثة سرقة قصر,منى  المشيقح,20/03/2021,Saturday,17:20,قصر,الرياض, المغرزات, العليا,سيارة,"النوع هاتش باك, اللون أبيض",نعم,تسلق الجدار," $93,981.00 ",مجهول,لا,معروف,نعم,سمراء,غير معروف,50+,لا,,أنا منى  المشيقح أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44275 الوقت 17:20 في حي المغرزات شارع العليا تمت سرقة سيارة بقيمة 93981 ريال سعودي
حادثة سرقة قصر,سعد الكريديس,22/04/2021,Thursday,5:22,قصر,الرياض, القيروان, الحسن بن علي,ذهب,"النوع خاتم, العيار ",نعم,غير معروف," $56,893.00 ",مجهول,لا,معروف,نعم,سمراء,باكستاني,50+,لا,,أنا سعد الكريديس أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44308 الوقت 05:22 في حي القيروان شارع الحسن بن علي تمت سرقة ذهب بقيمة 56893 ريال سعودي
حادثة سرقة استراحة,منى  القطحاني,08/05/2021,Saturday,2:46,استراحة,الرياض, الحمراء, الأمير بدر بن عبد العزيز,سيارة,"النوع سيدان, اللون أزرق",نعم,كسر الباب," $30,477.00 ",مجهول,نعم,معروف,نعم,حنطية,غير معروف,33-50,لا,,أنا منى  القطحاني أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44324 الوقت 02:46 في حي الحمراء شارع الأمير بدر بن عبد العزيز تمت سرقة سيارة بقيمة 30477 ريال سعودي
حادثة سرقة استراحة,في العتيبي,09/07/2021,Friday,21:21,استراحة,الرياض, المصيف, الملك خالد,ذهب,"النوع سبيكة, العيار 24",نعم,تسلق الجدار," $47,878.00 ",معروف,لا,مجهول,لا,حنطية,صومالي ,50+,لا,,أنا في العتيبي أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44386 الوقت 21:21 في حي المصيف شارع الملك خالد تمت سرقة ذهب بقيمة 47878 ريال سعودي
حادثة سرقة شقة,نايف الطاسان,07/10/2021,Thursday,10:40,شقة,الرياض, المونسية, الإمام سعود بن عبد العزيز بن محمد,مبلغ مادي,المبلغ 33386,نعم,غير معروف," $33,386.00 ",مشكوك فيه,نعم,مجهول,نعم,حنطية,غير معروف,33-50,لا,,أنا نايف الطاسان أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44476 الوقت 10:40 في حي المونسية شارع الإمام سعود بن عبد العزيز بن محمد تمت سرقة مبلغ مادي بقيمة 33386 ريال سعودي
حادثة سرقة قصر,نورة النفيسة,24/03/2021,Wednesday,0:57,قصر,الرياض, الرمال, العليا,سيارة,"النوع كوبيه, اللون كحلي",نعم,وجود مفتاح ," $76,115.00 ",مجهول,نعم,معروف,لا,بيضاء,باكستاني,50+,نعم,,أنا نورة النفيسة أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44279 الوقت 00:57 في حي الرمال شارع العليا تمت سرقة سيارة بقيمة 76115 ريال سعودي
حادثة سرقة قصر,محمد القعود,26/09/2021,Sunday,23:22,قصر,الرياض, الملقا, الأمير ناصر بن عبد العزيز,مبلغ مادي,المبلغ 42447,لا,تسلق الجدار," $42,447.00 ",معروف,نعم,مجهول,لا,بيضاء,سعودي,21-26,نعم,,أنا محمد القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44465 الوقت 23:22 في حي الملقا شارع الأمير ناصر بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 42447 ريال سعودي
حادثة سرقة شقة,هاجر الرصيص,14/11/2021,Sunday,13:20,شقة,الرياض, الروضة, أبي بكر الصديق (الرياض),سيارة,"النوع فان, اللون كحلي",نعم,تسلق الجدار," $85,801.00 ",مجهول,نعم,مجهول,نعم,حنطية,غير معروف,21-26,لا,,أنا هاجر الرصيص أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44514 الوقت 13:20 في حي الروضة شارع أبي بكر الصديق (الرياض) تمت سرقة سيارة بقيمة 85801 ريال سعودي
حادثة سرقة قصر,عبدالرحمن المقرن,01/04/2021,Thursday,7:46,قصر,الرياض, أم الحمام الغربي, الإمام سعود بن عبد العزيز بن محمد,سيارة,"النوع SUV , اللون كحلي",لا,كسر الباب," $12,185.00 ",معروف,نعم,معروف,نعم,حنطية,هندي,33-50,لا,,أنا عبدالرحمن المقرن أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44287 الوقت 07:46 في حي أم الحمام الغربي شارع الإمام سعود بن عبد العزيز بن محمد تمت سرقة سيارة بقيمة 12185 ريال سعودي
حادثة سرقة شقة,عبدالله الشلهوب,06/11/2021,Saturday,3:54,شقة,الرياض, الحمراء, التخصصي,ذهب,"النوع سبيكة, العيار ",لا,كسر الباب," $79,982.00 ",مجهول,نعم,معروف,نعم,حنطية,غير معروف,15-20,نعم,,أنا عبدالله الشلهوب أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44506 الوقت 03:54 في حي الحمراء شارع التخصصي تمت سرقة ذهب بقيمة 79982 ريال سعودي
حادثة سرقة شقة,نورة العتيبي,13/01/2022,Thursday,13:23,شقة,الرياض, أم الحمام الغربي, الأمير سلطان بن عبد العزيز,ذهب,"النوع عقد, العيار ",لا,كسر الباب," $71,670.00 ",مجهول,لا,مجهول,لا,حنطية,هندي,33-50,لا,,أنا نورة العتيبي أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44574 الوقت 13:23 في حي أم الحمام الغربي شارع الأمير سلطان بن عبد العزيز تمت سرقة ذهب بقيمة 71670 ريال سعودي
حادثة سرقة شقة,نايف الصفيان,14/08/2021,Saturday,17:12,شقة,الرياض, الملك عبد الله, العليا,ذهب,"النوع سبيكة, العيار 21",نعم,غير معروف," $26,981.00 ",مشكوك فيه,نعم,معروف,لا,حنطية,غير معروف,50+,نعم,,أنا نايف الصفيان أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44422 الوقت 17:12 في حي الملك عبد الله شارع العليا تمت سرقة ذهب بقيمة 26981 ريال سعودي
حادثة سرقة منزل,لطيفة الكريديس,08/09/2021,Wednesday,15:15,منزل,الرياض, قرطبة, تركي الأول,سيارة,"النوع كوبيه, اللون أسود",نعم,وجود مفتاح ," $64,563.00 ",معروف,لا,مجهول,لا,حنطية,غير معروف,33-50,نعم,,أنا لطيفة الكريديس أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44447 الوقت 15:15 في حي قرطبة شارع تركي الأول تمت سرقة سيارة بقيمة 64563 ريال سعودي
حادثة سرقة شقة,هند الكريديس,30/04/2021,Friday,7:40,شقة,الرياض, الرائد, الملك عبد الله,جهاز منزلي,"النوع غسالة, اللون كحلي",نعم,غير معروف," $10,507.00 ",مجهول,نعم,مجهول,لا,سمراء,سعودي,50+,نعم,,أنا هند الكريديس أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44316 الوقت 07:40 في حي الرائد شارع الملك عبد الله تمت سرقة جهاز منزلي بقيمة 10507 ريال سعودي
حادثة سرقة شقة,لطيفة القطحاني,08/06/2021,Tuesday,2:05,شقة,الرياض, الرحمانية, الأمير محمد بن عبد العزيز (الرياض),مبلغ مادي,المبلغ 2948,نعم,وجود مفتاح ," $2,948.00 ",مشكوك فيه,لا,مجهول,لا,حنطية,غير معروف,50+,نعم,,أنا لطيفة القطحاني أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44355 الوقت 02:05 في حي الرحمانية شارع الأمير محمد بن عبد العزيز (الرياض) تمت سرقة مبلغ مادي بقيمة 2948 ريال سعودي
حادثة سرقة قصر,سعد الجريش,16/01/2022,Sunday,3:57,قصر,الرياض, الحمراء, الشيخ جابر الأحمد الصباح,جهاز منزلي,"النوع غسالة, اللون أسود",لا,وجود مفتاح ," $11,349.00 ",مشكوك فيه,نعم,معروف,نعم,حنطية,غير معروف,15-20,لا,,أنا سعد الجريش أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44577 الوقت 03:57 في حي الحمراء شارع الشيخ جابر الأحمد الصباح تمت سرقة جهاز منزلي بقيمة 11349 ريال سعودي
حادثة سرقة قصر,في القعود,10/07/2021,Saturday,20:02,قصر,الرياض, أم الحمام الشرقي, المغيرة بن شعبة,ذهب,"النوع عقد, العيار 22",لا,وجود مفتاح ," $37,951.00 ",معروف,لا,معروف,نعم,بيضاء,هندي,50+,نعم,,أنا في القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44387 الوقت 20:02 في حي أم الحمام الشرقي شارع المغيرة بن شعبة تمت سرقة ذهب بقيمة 37951 ريال سعودي
حادثة سرقة منزل,في المقرن,26/12/2021,Sunday,11:49,منزل,الرياض, اليرموك, الملك خالد,جهاز منزلي,"النوع كنب, اللون أزرق",لا,غير معروف," $62,594.00 ",معروف,نعم,معروف,نعم,سمراء,غير معروف,21-26,نعم,,أنا في المقرن أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44556 الوقت 11:49 في حي اليرموك شارع الملك خالد تمت سرقة جهاز منزلي بقيمة 62594 ريال سعودي
حادثة سرقة استراحة,عبدالرحمن النفيسة,20/06/2021,Sunday,21:55,استراحة,الرياض, النخيل, هشام بن عبد الملك,سيارة,"النوع SUV , اللون رصاصي",نعم,كسر الباب," $23,805.00 ",مجهول,نعم,معروف,لا,بيضاء,غير معروف,21-26,نعم,,أنا عبدالرحمن النفيسة أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44367 الوقت 21:55 في حي النخيل شارع هشام بن عبد الملك تمت سرقة سيارة بقيمة 23805 ريال سعودي
حادثة سرقة منزل,منى  الجريش,28/01/2022,Friday,1:15,منزل,الرياض, الرحمانية, التخصصي,سيارة,"النوع سيدان, اللون أزرق",لا,وجود مفتاح ," $13,204.00 ",مجهول,نعم,مجهول,لا,حنطية,غير معروف,21-26,نعم,,أنا منى  الجريش أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44589 الوقت 01:15 في حي الرحمانية شارع التخصصي تمت سرقة سيارة بقيمة 13204 ريال سعودي
حادثة سرقة قصر,لطيفة القطحاني,16/03/2021,Tuesday,19:18,قصر,الرياض, بنبان, الأمير بدر بن عبد العزيز,سيارة,"النوع SUV , اللون أسود",نعم,تسلق الجدار," $37,564.00 ",مجهول,نعم,معروف,نعم,بيضاء,غير معروف,33-50,لا,,أنا لطيفة القطحاني أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44271 الوقت 19:18 في حي بنبان شارع الأمير بدر بن عبد العزيز تمت سرقة سيارة بقيمة 37564 ريال سعودي
حادثة سرقة شقة,عبدالله النفيسة,19/04/2021,Monday,1:13,شقة,الرياض, غرناطة, الحسن بن علي,مبلغ مادي,المبلغ 33866,لا,كسر الباب," $33,866.00 ",مجهول,لا,معروف,لا,حنطية,مصري,27-32,لا,,أنا عبدالله النفيسة أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44305 الوقت 01:13 في حي غرناطة شارع الحسن بن علي تمت سرقة مبلغ مادي بقيمة 33866 ريال سعودي
حادثة سرقة قصر,هند العتيبي,24/01/2022,Monday,7:04,قصر,الرياض, الملقا, هشام بن عبد الملك,مبلغ مادي,المبلغ 90252,لا,تسلق الجدار," $90,252.00 ",مجهول,لا,مجهول,لا,سمراء,غير معروف,33-50,نعم,,أنا هند العتيبي أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44585 الوقت 07:04 في حي الملقا شارع هشام بن عبد الملك تمت سرقة مبلغ مادي بقيمة 90252 ريال سعودي
حادثة سرقة استراحة,نايف الصفيان,11/01/2021,Monday,6:32,استراحة,الرياض, أم الحمام الغربي, الأمير سلمان بن محمد بن سعود,مبلغ مادي,المبلغ 2261,لا,غير معروف," $2,261.00 ",معروف,نعم,معروف,لا,حنطية,مصري,15-20,لا,,أنا نايف الصفيان أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44207 الوقت 06:32 في حي أم الحمام الغربي شارع الأمير سلمان بن محمد بن سعود تمت سرقة مبلغ مادي بقيمة 2261 ريال سعودي
حادثة سرقة قصر,منى  الخميسي,19/01/2022,Wednesday,10:25,قصر,الرياض, القدس, الأمير ناصر بن عبد العزيز,ذهب,"النوع عقد, العيار 21",لا,غير معروف," $93,992.00 ",معروف,لا,معروف,نعم,سمراء,غير معروف,50+,نعم,,أنا منى  الخميسي أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44580 الوقت 10:25 في حي القدس شارع الأمير ناصر بن عبد العزيز تمت سرقة ذهب بقيمة 93992 ريال سعودي
حادثة سرقة استراحة,نورة المشيقح,11/12/2021,Saturday,21:30,استراحة,الرياض, الوادي, الدائري (الرياض),مبلغ مادي,المبلغ 41670,نعم,تسلق الجدار," $41,670.00 ",مشكوك فيه,نعم,مجهول,لا,بيضاء,غير معروف,15-20,نعم,,أنا نورة المشيقح أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44541 الوقت 21:30 في حي الوادي شارع الدائري (الرياض) تمت سرقة مبلغ مادي بقيمة 41670 ريال سعودي
حادثة سرقة قصر,ندى الخميسي,30/08/2021,Monday,4:31,قصر,الرياض, النخيل, تركي الأول,سيارة,"النوع SUV , اللون أسود",نعم,وجود مفتاح ," $54,236.00 ",مجهول,نعم,معروف,نعم,سمراء,غير معروف,15-20,لا,,أنا ندى الخميسي أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44438 الوقت 04:31 في حي النخيل شارع تركي الأول تمت سرقة سيارة بقيمة 54236 ريال سعودي
حادثة سرقة قصر,سعود الرصيص,04/03/2021,Thursday,2:37,قصر,الرياض, النزهة, العليا,جهاز منزلي,"النوع كنب, اللون أحمر",نعم,غير معروف," $59,359.00 ",مشكوك فيه,نعم,مجهول,نعم,بيضاء,هندي,27-32,نعم,,أنا سعود الرصيص أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44259 الوقت 02:37 في حي النزهة شارع العليا تمت سرقة جهاز منزلي بقيمة 59359 ريال سعودي
حادثة سرقة قصر,محمد الشلهوب,20/06/2021,Sunday,22:10,قصر,الرياض, بنبان, الأمير بدر بن عبد العزيز,مبلغ مادي,المبلغ 73989,نعم,غير معروف," $73,989.00 ",مجهول,نعم,معروف,نعم,حنطية,باكستاني,50+,لا,,أنا محمد الشلهوب أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44367 الوقت 22:10 في حي بنبان شارع الأمير بدر بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 73989 ريال سعودي
حادثة سرقة قصر,سعود الجريش,11/09/2021,Saturday,21:04,قصر,الرياض, أم الحمام الغربي, الأمير ناصر بن عبد العزيز,سيارة,"النوع هاتش باك, اللون أسود",نعم,وجود مفتاح ," $86,892.00 ",مشكوك فيه,لا,معروف,نعم,بيضاء,غير معروف,27-32,نعم,,أنا سعود الجريش أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44450 الوقت 21:04 في حي أم الحمام الغربي شارع الأمير ناصر بن عبد العزيز تمت سرقة سيارة بقيمة 86892 ريال سعودي
حادثة سرقة شقة,في الشلهوب,30/06/2021,Wednesday,7:25,شقة,الرياض, غرناطة, الحسن بن علي,مبلغ مادي,المبلغ 27025,نعم,كسر الباب," $27,025.00 ",مجهول,لا,مجهول,لا,حنطية,غير معروف,33-50,لا,,أنا في الشلهوب أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44377 الوقت 07:25 في حي غرناطة شارع الحسن بن علي تمت سرقة مبلغ مادي بقيمة 27025 ريال سعودي
حادثة سرقة منزل,سعود الرصيص,20/10/2021,Wednesday,22:05,منزل,الرياض, النهضة, الإمام سعود بن عبد العزيز بن محمد,مبلغ مادي,المبلغ 29821,لا,غير معروف," $29,821.00 ",مجهول,لا,مجهول,نعم,بيضاء,غير معروف,33-50,لا,,أنا سعود الرصيص أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44489 الوقت 22:05 في حي النهضة شارع الإمام سعود بن عبد العزيز بن محمد تمت سرقة مبلغ مادي بقيمة 29821 ريال سعودي
حادثة سرقة استراحة,عبدالرحمن الرصيص,18/07/2021,Sunday,6:38,استراحة,الرياض, النرجس, الأمير محمد بن عبد العزيز (الرياض),سيارة,"النوع SUV , اللون أبيض",نعم,كسر الباب," $81,033.00 ",معروف,لا,معروف,لا,حنطية,صومالي ,15-20,نعم,,أنا عبدالرحمن الرصيص أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44395 الوقت 06:38 في حي النرجس شارع الأمير محمد بن عبد العزيز (الرياض) تمت سرقة سيارة بقيمة 81033 ريال سعودي
حادثة سرقة قصر,فاطمة العقيل,28/02/2021,Sunday,2:30,قصر,الرياض, العليا, الأمير ناصر بن عبد العزيز,سيارة,"النوع كوبيه, اللون أبيض",لا,غير معروف," $97,753.00 ",معروف,نعم,معروف,لا,سمراء,مصري,50+,لا,,أنا فاطمة العقيل أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44255 الوقت 02:30 في حي العليا شارع الأمير ناصر بن عبد العزيز تمت سرقة سيارة بقيمة 97753 ريال سعودي
حادثة سرقة شقة,منى  المقرن,16/02/2021,Tuesday,20:52,شقة,الرياض, الملك فهد, المغيرة بن شعبة,مبلغ مادي,المبلغ 11013,نعم,غير معروف," $11,013.00 ",مجهول,نعم,مجهول,لا,حنطية,بنقالي,50+,نعم,,أنا منى  المقرن أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44243 الوقت 20:52 في حي الملك فهد شارع المغيرة بن شعبة تمت سرقة مبلغ مادي بقيمة 11013 ريال سعودي
حادثة سرقة شقة,نورة القعود,09/11/2021,Tuesday,11:50,شقة,الرياض, المحمدية, تركي الأول,مبلغ مادي,المبلغ 61396,لا,غير معروف," $61,396.00 ",مجهول,لا,معروف,نعم,بيضاء,صومالي ,33-50,لا,,أنا نورة القعود أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44509 الوقت 11:50 في حي المحمدية شارع تركي الأول تمت سرقة مبلغ مادي بقيمة 61396 ريال سعودي
حادثة سرقة استراحة,سعود العتيبي,13/08/2021,Friday,9:42,استراحة,الرياض, الياسمين, الدائري (الرياض),ذهب,"النوع سبيكة, العيار ",نعم,وجود مفتاح ," $83,269.00 ",مشكوك فيه,لا,معروف,نعم,سمراء,مصري,21-26,لا,,أنا سعود العتيبي أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44421 الوقت 09:42 في حي الياسمين شارع الدائري (الرياض) تمت سرقة ذهب بقيمة 83269 ريال سعودي
حادثة سرقة استراحة,نايف الكريديس,27/05/2021,Thursday,11:41,استراحة,الرياض, الأندلس, الشيخ جابر الأحمد الصباح,ذهب,"النوع خاتم, العيار 18",لا,غير معروف," $57,748.00 ",مشكوك فيه,لا,مجهول,لا,بيضاء,بنقالي,21-26,نعم,,أنا نايف الكريديس أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44343 الوقت 11:41 في حي الأندلس شارع الشيخ جابر الأحمد الصباح تمت سرقة ذهب بقيمة 57748 ريال سعودي
حادثة سرقة شقة,نورة الكريديس,21/08/2021,Saturday,19:49,شقة,الرياض, أم الحمام الشرقي, الملك فهد,ذهب,"النوع سبيكة, العيار 21",نعم,غير معروف," $57,518.00 ",معروف,نعم,مجهول,نعم,بيضاء,صومالي ,50+,نعم,,أنا نورة الكريديس أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44429 الوقت 19:49 في حي أم الحمام الشرقي شارع الملك فهد تمت سرقة ذهب بقيمة 57518 ريال سعودي
حادثة سرقة قصر,عبدالرحمن الصفيان,11/03/2021,Thursday,4:11,قصر,الرياض, حطين, الملك عبد الله,سيارة,"النوع سيدان, اللون كحلي",لا,غير معروف," $83,829.00 ",مجهول,نعم,مجهول,نعم,بيضاء,بنقالي,15-20,نعم,,أنا عبدالرحمن الصفيان أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44266 الوقت 04:11 في حي حطين شارع الملك عبد الله تمت سرقة سيارة بقيمة 83829 ريال سعودي
حادثة سرقة قصر,تركي الكريديس,16/10/2021,Saturday,21:57,قصر,الرياض, الرحمانية, الأمير ناصر بن عبد العزيز,سيارة,"النوع SUV , اللون أزرق",نعم,وجود مفتاح ," $90,198.00 ",معروف,نعم,معروف,نعم,بيضاء,غير معروف,21-26,نعم,,أنا تركي الكريديس أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44485 الوقت 21:57 في حي الرحمانية شارع الأمير ناصر بن عبد العزيز تمت سرقة سيارة بقيمة 90198 ريال سعودي
حادثة سرقة قصر,في النفيسة,26/01/2022,Wednesday,0:53,قصر,الرياض, الملقا, التخصصي,جهاز منزلي,"النوع غسالة, اللون أبيض",لا,غير معروف," $54,791.00 ",مجهول,لا,معروف,لا,سمراء,باكستاني,15-20,لا,,أنا في النفيسة أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44587 الوقت 00:53 في حي الملقا شارع التخصصي تمت سرقة جهاز منزلي بقيمة 54791 ريال سعودي
حادثة سرقة شقة,في القعود,20/04/2021,Tuesday,6:18,شقة,الرياض, أشبيلية, الحسن بن علي,جهاز منزلي,"النوع تلفاز, اللون أسود",لا,وجود مفتاح ," $68,465.00 ",مجهول,نعم,مجهول,لا,حنطية,غير معروف,21-26,لا,,أنا في القعود أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44306 الوقت 06:18 في حي أشبيلية شارع الحسن بن علي تمت سرقة جهاز منزلي بقيمة 68465 ريال سعودي
حادثة سرقة استراحة,في الجريش,24/01/2022,Monday,11:33,استراحة,الرياض, الأندلس, العليا,مبلغ مادي,المبلغ 37769,لا,غير معروف," $37,769.00 ",مشكوك فيه,نعم,مجهول,نعم,سمراء,غير معروف,15-20,لا,,أنا في الجريش أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44585 الوقت 11:33 في حي الأندلس شارع العليا تمت سرقة مبلغ مادي بقيمة 37769 ريال سعودي
